Code,Beta,Company,industry
ABIO.O,1.7339,方舟生物醫藥,biotechnology
ACAD.O,0.249,阿卡迪亞,biotechnology
ACHV.O,-0.7799,ACHIEVE LIFE SCIENCES,biotechnology
ADAP.O,1.9583,ADAPTIMMUNE THERAPEUTICS,biotechnology
ADMA.O,0.696,ADMA BIOLOGICS,biotechnology
AAPL.O,1.2326,APPLE,PC hardware
HPE.N,1.4205,慧與,PC hardware
HPQ.N,1.1134,惠普公司,PC hardware
NCR.N,1.916,NCR,PC hardware
SYS.O,0.6794,STRATASYS,PC hardware
AAL.O,2.7703,美國航空,aviation
DAL.N,2.3912,達美航空,aviation
ALK.N,2.6814,阿拉斯加航空,aviation
UAL.O,3.0185,UNITED AIRLINES,aviation
MESA.O ,2.9184,梅薩航空,aviation
AMZN.O,0.3591,亞馬遜,E-commerece
BABA.N,0.9098,阿里巴巴,E-commerece
BKNG.O,1.2856,BOOKING,E-commerece
EBAY.O,0.6438,EBAY,E-commerece
JD.O,0.6438,京東,E-commerece
IFMK.O,-5.2159,IFRESH,Food Retail
IMKTA.O,0.4447,阿格萊斯市場,Food Retail
SFM.O,-0.5666,SPROUTS FARMERS MARKET,Food Retail
VLGEA.O,-0.2136,VILLAGE SUPER MARKET-CLASS A,Food Retail
CASY.O,0.6798,CASEYS GENERAL STORES,Food Retail
